City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,San Rafael,-34.6177,-68.3301,59.94,31,31,7.38,AR,2021-05-24 22:53:26
277,Broken Hill,-31.95,141.4333,62.31,45,40,20.71,AU,2021-05-24 22:54:06
278,Cherskiy,68.75,161.3,50.56,36,12,8.97,RU,2021-05-24 22:54:06
279,Joniskis,56.2403,23.6153,50.92,93,68,7.11,LT,2021-05-24 22:54:07
280,Ahipara,-35.1667,173.1667,60.15,64,100,14.0,NZ,2021-05-24 22:54:07
281,Tecate,32.5667,-116.6333,87.89,17,0,4.72,MX,2021-05-24 22:54:07
282,Sorland,67.667,12.6934,43.07,75,26,15.17,NO,2021-05-24 22:54:08
283,Sola,-13.8833,167.55,78.42,76,96,21.45,VU,2021-05-24 22:54:08
284,Nantucket,41.2835,-70.0995,57.61,62,64,14.14,US,2021-05-24 22:54:08
285,Pangai,-19.8,-174.35,78.91,69,75,2.3,TO,2021-05-24 22:54:09
286,Hualmay,-11.0964,-77.6139,64.74,87,38,6.29,PE,2021-05-24 22:54:09
287,Olinda,-8.0089,-34.8553,78.53,74,40,8.66,BR,2021-05-24 22:54:10
288,Egvekinot,66.3167,-179.1667,32.47,94,100,10.16,RU,2021-05-24 22:54:10
289,Torbay,47.6666,-52.7314,36.27,64,90,13.8,CA,2021-05-24 22:54:11
290,Bani Walid,31.7566,13.9942,80.38,25,66,7.65,LY,2021-05-24 22:54:11
291,Vardo,70.3705,31.1107,36.34,68,5,5.06,NO,2021-05-24 22:54:11
292,Diamantino,-14.4086,-56.4461,73.35,73,15,2.39,BR,2021-05-24 22:54:12
293,Isla Mujeres,21.2311,-86.731,84.16,80,99,13.13,MX,2021-05-24 22:54:12
